boss_id,模式,内容,等级,目标层,Boss类型,Boss类型中文,移动类型,移动类型中文,Boss标识,QuestBoss名称,QuestBoss名称Key,图标标识,HP,护盾,防御,移速,缩放值,掉落金币,掉落魔力石,首次定位,定位样本,定位数量,自定义参数_原始,自定义参数数量,自定义参数1,自定义参数2,自定义参数3,自定义参数4,自定义参数5,自定义参数6
70001,Normal,BeachBreakout,1,0,QuestBoss,通缉Boss,Ground,地面,Boss_Wanted_01_BeachBreakout,小偷,Mission_Boss_Spawn01_Desc,Icon_Boss_Spawn01,32500,0,0,1,0,60,0,,,0,0,0,,,,,,
70002,Normal,BeachBreakout,2,0,QuestBoss,通缉Boss,Ground,地面,Boss_Wanted_02_BeachBreakout,奸商,Mission_Boss_Spawn02_Desc,Icon_Boss_Spawn02,820000,0,0,1,0,0,40,,,0,0,0,,,,,,
70003,Normal,BeachBreakout,3,0,QuestBoss,通缉Boss,Ground,地面,Boss_Wanted_03_BeachBreakout,海贼王,Mission_Boss_Spawn03_Desc,Icon_Boss_Spawn03,600000,8700000,0,1,0,150,0,,,0,0,0,,,,,,
70004,Normal,BeachBreakout,4,0,QuestBoss,通缉Boss,Ground,地面,Boss_Wanted_04_BeachBreakout,騎士團長,Mission_Boss_Spawn04_Desc,Icon_Boss_Spawn04,43000000,71500000,0,1,0,0,100,,,0,0,0,,,,,,
70005,Normal,BeachBreakout,5,0,QuestBoss,通缉Boss,Ground,地面,Boss_Wanted_05_BeachBreakout,龍騎士,Mission_Boss_Spawn05_Desc,Icon_Boss_Spawn05,1485000000,10890000000,500,1,0,350,0,,,0,0,0,,,,,,
70006,Normal,BeachBreakout,6,0,QuestBoss,通缉Boss,Ground,地面,Boss_Wanted_06_BeachBreakout,大魔法師,Mission_Boss_Spawn06_Desc,Icon_Boss_Spawn06,4950000000,94050000000,700,1,0,0,300,,,0,0,0,,,,,,
60110,Normal,BeachBreakout,10,1,LineBoss,关卡Boss,Ground,地面,Boss_Warrior_BeachBreakout,,,,42500,0,0,1,0,200,100,海滩波次 | 层:1 | 波次:10 | Boss:1 | 时长:30.9s,海滩波次 | 层:1 | 波次:10 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
60120,Normal,BeachBreakout,20,1,LineBoss,关卡Boss,Ground,地面,Boss_Thief_BeachBreakout,,,,110500,0,0,1.1,0,250,125,海滩波次 | 层:1 | 波次:20 | Boss:1 | 时长:30.9s,海滩波次 | 层:1 | 波次:20 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
60130,Normal,BeachBreakout,30,1,LineBoss,关卡Boss,Ground,地面,Boss_Hunter_BeachBreakout,,,,578000,0,0,1.2,0,300,150,海滩波次 | 层:1 | 波次:30 | Boss:1 | 时长:30.9s,海滩波次 | 层:1 | 波次:30 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
60140,Normal,BeachBreakout,40,1,LineBoss,关卡Boss,Ground,地面,Boss_Saint_BeachBreakout,,,,2643500,0,0,1.3,0,400,200,海滩波次 | 层:1 | 波次:40 | Boss:1 | 时长:30.9s,海滩波次 | 层:1 | 波次:40 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
60150,Normal,BeachBreakout,50,1,LineBoss,关卡Boss,Ground,地面,Boss_HolyKnight_BeachBreakout,,,,10497500,0,0,1.4,0,500,250,海滩波次 | 层:1 | 波次:50 | Boss:1 | 时长:60.9s,海滩波次 | 层:1 | 波次:50 | Boss:1 | 时长:60.9s,1,0|0|0|0,4,0,0,0,0,,
60210,Normal,BeachBreakout,10,2,LineBoss,关卡Boss,Ground,地面,Boss_Warrior_BeachBreakout,,,,68000,0,0,1,0,200,100,海滩波次 | 层:2 | 波次:10 | Boss:1 | 时长:30.9s,海滩波次 | 层:2 | 波次:10 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
60220,Normal,BeachBreakout,20,2,LineBoss,关卡Boss,Ground,地面,Boss_Thief_BeachBreakout,,,,187000,0,0,1.1,0,250,125,海滩波次 | 层:2 | 波次:20 | Boss:1 | 时长:30.9s,海滩波次 | 层:2 | 波次:20 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
60230,Normal,BeachBreakout,30,2,LineBoss,关卡Boss,Ground,地面,Boss_Hunter_BeachBreakout,,,,986000,0,0,1.2,0,300,150,海滩波次 | 层:2 | 波次:30 | Boss:1 | 时长:30.9s,海滩波次 | 层:2 | 波次:30 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
60240,Normal,BeachBreakout,40,2,LineBoss,关卡Boss,Ground,地面,Boss_Saint_BeachBreakout,,,,4496500,0,0,1.3,0,400,200,海滩波次 | 层:2 | 波次:40 | Boss:1 | 时长:30.9s,海滩波次 | 层:2 | 波次:40 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
60250,Normal,BeachBreakout,50,2,LineBoss,关卡Boss,Ground,地面,Boss_HolyKnight_BeachBreakout,,,,15300000,0,0,1.4,0,500,250,海滩波次 | 层:2 | 波次:50 | Boss:1 | 时长:60.9s,海滩波次 | 层:2 | 波次:50 | Boss:1 | 时长:60.9s,1,0|0|0|0,4,0,0,0,0,,
60310,Normal,BeachBreakout,10,3,LineBoss,关卡Boss,Ground,地面,Boss_Warrior_BeachBreakout,,,,93500,0,0,1,0,200,100,海滩波次 | 层:3 | 波次:10 | Boss:1 | 时长:30.9s,海滩波次 | 层:3 | 波次:10 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
60320,Normal,BeachBreakout,20,3,LineBoss,关卡Boss,Ground,地面,Boss_Thief_BeachBreakout,,,,263500,0,0,1.1,0,250,125,海滩波次 | 层:3 | 波次:20 | Boss:1 | 时长:30.9s,海滩波次 | 层:3 | 波次:20 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
60330,Normal,BeachBreakout,30,3,LineBoss,关卡Boss,Ground,地面,Boss_Hunter_BeachBreakout,,,,1411000,0,0,1.2,0,300,150,海滩波次 | 层:3 | 波次:30 | Boss:1 | 时长:30.9s,海滩波次 | 层:3 | 波次:30 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
60340,Normal,BeachBreakout,40,3,LineBoss,关卡Boss,Ground,地面,Boss_Saint_BeachBreakout,,,,6409000,0,0,1.3,0,400,200,海滩波次 | 层:3 | 波次:40 | Boss:1 | 时长:30.9s,海滩波次 | 层:3 | 波次:40 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
