enemy_id,模式,内容,等级,目标层,类型,类型中文,移动类型,移动类型中文,怪物标识,图标标识,HP,护盾,防御,移速,缩放值,掉落金币,掉落魔力石,首次定位,定位样本,定位数量,自定义参数_原始,自定义参数数量
60101,Normal,BeachBreakout,1,1,Monster,普通敌人,Ground,地面,Enemy_Archer_BeachBreakout,,26,0,0,1,0,0,0,海滩波次 | 层:1 | 波次:1 | 小怪:30 | 时长:10.9s,海滩波次 | 层:1 | 波次:1 | 小怪:30 | 时长:10.9s,1,0,0
60102,Normal,BeachBreakout,2,1,Monster,普通敌人,Ground,地面,Enemy_Thief_BeachBreakout,,43,0,0,1,0,0,0,海滩波次 | 层:1 | 波次:2 | 小怪:30 | 时长:10.9s,海滩波次 | 层:1 | 波次:2 | 小怪:30 | 时长:10.9s,1,0,0
60103,Normal,BeachBreakout,3,1,Monster,普通敌人,Ground,地面,Enemy_Viking_BeachBreakout,,60,0,0,1,0,0,0,海滩波次 | 层:1 | 波次:3 | 小怪:30 | 时长:10.9s,海滩波次 | 层:1 | 波次:3 | 小怪:30 | 时长:10.9s,1,0,0
60104,Normal,BeachBreakout,4,1,Monster,普通敌人,Ground,地面,Enemy_Warrior_BeachBreakout,,85,0,0,1,0,0,0,海滩波次 | 层:1 | 波次:4 | 小怪:30 | 时长:10.9s,海滩波次 | 层:1 | 波次:4 | 小怪:30 | 时长:10.9s,1,0,0
60105,Normal,BeachBreakout,5,1,Monster,普通敌人,Ground,地面,Enemy_BonusGoldMiner_BeachBreakout,,128,0,0,1,0,0,0,海滩波次 | 层:1 | 波次:5 | 小怪:30 | 时长:10.9s,海滩波次 | 层:1 | 波次:5 | 小怪:30 | 时长:10.9s,1,0,0
60106,Normal,BeachBreakout,6,1,Monster,普通敌人,Ground,地面,Enemy_Wizard_BeachBreakout,,196,0,0,1,0,0,0,海滩波次 | 层:1 | 波次:6 | 小怪:30 | 时长:10.9s,海滩波次 | 层:1 | 波次:6 | 小怪:30 | 时长:10.9s,1,0,0
60107,Normal,BeachBreakout,7,1,Monster,普通敌人,Ground,地面,Enemy_Warrior_BeachBreakout,,289,0,0,1,0,0,0,海滩波次 | 层:1 | 波次:7 | 小怪:30 | 时长:10.9s,海滩波次 | 层:1 | 波次:7 | 小怪:30 | 时长:10.9s,1,0,0
60108,Normal,BeachBreakout,8,1,Monster,普通敌人,Ground,地面,Enemy_Thief_BeachBreakout,,434,0,0,1,0,0,0,海滩波次 | 层:1 | 波次:8 | 小怪:30 | 时长:10.9s,海滩波次 | 层:1 | 波次:8 | 小怪:30 | 时长:10.9s,1,0,0
60109,Normal,BeachBreakout,9,1,Monster,普通敌人,Ground,地面,Enemy_Viking_BeachBreakout,,655,0,0,1,0,0,0,海滩波次 | 层:1 | 波次:9 | 小怪:30 | 时长:10.9s,海滩波次 | 层:1 | 波次:9 | 小怪:30 | 时长:10.9s,1,0,0
60111,Normal,BeachBreakout,11,1,Monster,普通敌人,Ground,地面,Enemy_Archer_BeachBreakout,,723,0,0,1.1,0,0,0,海滩波次 | 层:1 | 波次:11 | 小怪:30 | 时长:10.9s,海滩波次 | 层:1 | 波次:11 | 小怪:30 | 时长:10.9s,1,0,0
60112,Normal,BeachBreakout,12,1,Monster,普通敌人,Ground,地面,Enemy_Thief_BeachBreakout,,935,0,0,1.1,0,0,0,海滩波次 | 层:1 | 波次:12 | 小怪:30 | 时长:10.9s,海滩波次 | 层:1 | 波次:12 | 小怪:30 | 时长:10.9s,1,0,0
